MAC #,incipit,repository,ms number,Notes and alternate forms of incipit by a few letters
18,ወሀሎ፡ ብእሲ፡ በሀገረ፡ ናርዲን፡ ወተሠይመ፡ ቀሲሰ፡ በላዕለ፡ ቤተ፡ ክርስቲያን፡ ድንግል፡ ዘይእቲ፡ ሀገር,EMML,6938,ወሀሎ፡ ብእሲ፡ በሀገረ፡ ናርዲን፡ ወተሠይመ፡ (ms: ተሰምየ፡) ቀሲሰ፡ በላዕለ፡ ቤተ፡ ክርስቲያን፡ (ዘ)ድንግል፡ ዘይእቲ፡ ሀገር
19,ወኮነ፡ በዝንቱ፡ ደብር፡ ቅዱስ፡ ዘዝኩር፡ በመዋዕሊሁ፡ ለአቡነ፡ አባ፡ ገብርኤል፡ ሊቀ፡ ጳጳሳት፡ ዘለእስክንድርያ፡ ብእሲ፡ መነኮስ፡ ቅዱስ፡ ወእምንእሱ፡ ነበረ፡ ህየ፡ ወስሙ፡ ይስሐቅ,EMML,5520,
19,ወሀሎ፡ አሐዱ፡ መነኮስ፡ ኄር፡ ዘስሙ፡ ይስሐቅ፡ ወያፈቅራ፡ ለእግዝእትነ፡ ማርያም፡ ወእምንእሱ፡ ነበረ፡ በአሐቲ፡ ደብር፡ በመዋዕሊሁ፡ ለአባ፡ ገብርኤል,EMML,4205,
20,ወሀለወት፡ አሐቲ፡ ብእሲት፡ እምአንስተ፡ ዐረብ፡ ወባቲ፡ ውሕዘተ፡ ደም፡ እምብዙኅ፡ ዓመታት,EMML,6938,
21,ወሀሎ፡ በቤተ፡ ክርስቲያነ፡ ቅድስት፡ ወብፅዕት፡ ንጽሕት፡ ወልዕልት፡ እምሰማዕታት፡ በርባራ፡ ብእሲ፡ ዘይሰመይ፡ ዮሐንስ,EMML,6938,
22,ወሀለወት፡ ቤተ፡ ክርስቲያን፡ ወዓዲ፡ ሥዕል፡ በስመ፡ እግዝእትነ፡…. በገቦ፡ ንድቅ፡ ዘየማን,EMML,6938,
23,ወሀለዉ፡ ክልኤቱ፡ መነኮሳት፡ ቡሩካን፡ እምድብረ፡ ሰማዕት፡ ማር፡ ፊቅጦር፡ በማኅፈደ፡ ናርቆን,EMML,6938,
24,ወኮነ፡ በአሐዱ፡ እምመዋዕል፡ እንዘ፡ ይገብሩ፡ በዐላ፡ ለእግዝእትነ፡…. በሀገረ፡ አትሪብ፡ አመ፡ ፳፡ ወ፩፡ ለውርኀ፡ ሰኔ፡ ቅዳሴ፡ ቤተ፡ ክርስቲያና፡ ቅድስት፡ በሀገረ፡ ፊልጵኢስ,EMML,2058,ወኮነ፡ በአሐዱ፡ እምመዋዕል፡ እንዘ፡ ይገብሩ፡ በዐላ፡ ለእግዝእትነ፡…. በሀገረ፡ አትሪብ፡ አመ፡ ፳፡ ወ፩፡ ለውርኀ፡ ሰኔ፡ (other mss: መስከረም፡) ቅዳሴ፡ ቤተ፡ ክርስቲያና፡ ቅድስት፡ በሀገረ፡ ፊልጵኢስ
25,ወሀለወት፡ ብእሲት፡ መሃይምንት፡ ቅድስት፡ ወቡርክት፡ ወተኀድር፡ በአሐዱ፡ ሀገር፡ እምአህጉራተ፡ ታሕታይ፡ ግብጽ፡ ዘትሰመይ፡ ስምባጥ,EMML,6938,
26,ወኮነ፡ በበዐላ፡ ለእግዝእትነ፡…. አመ፡ ፲፡ ወ፮፡ ለወርኀ፡ ነሐሴ፡ ዕርገተ፡ ሥጋሃ፡ ቅዱስ፡ ውስተ፡ ሰማያት፡ ወይትገበር፡ ባቲ፡ በዐል፡ ዐቢይ፡ በቤተ፡ ልሔም,EMML,6938,
27,ስምዑ፡ አበውየ፡ ወአኃውየ፡ ዘንተ፡ ነገረ፡ ዘኮነ፡ በእንተ፡ እግዝእትነ፡… እመ፡ ምሕረት፡ በአማን፡ መሐሪት፡ ወመስተፍሥሒት፡ ወመናዝዚት፡ ለዘሰአለ፡ ኀቤሃ፡ በጥቡዕ፡ ልብ፡ ወበጽኑዕ፡ ሃይማኖት። ወኮነ፡ እንዘ፡ ሀሎኩ፡ አነ፡ ነዳይ፡ ዮሐንስ፡ እስቁፍ፡ በገዳመ፡ አስቄጥስ፡ ነገሩኒ፡ ሰብእ፡ መሃይምናን፡ ኄራን፡ ከመ፡ ሀሎ፡ አሐዱ፡ ብእሲ፡ ፈራሄ፡ እግዚአብሔር፡ ወያፈቅራ፡ ለእግዝእትነ፡…. ሀገሩሰ፡ ድፍራ,EMML,6938,ስምዑ፡ አበውየ፡ ወአኃውየ፡ ዘንተ፡ ነገረ፡ ዘኮነ፡ በእንተ፡ እግዝእትነ፡… እመ፡ ምሕረት፡ በአማን፡ መሐሪት፡ ወመስተፍሥሒት፡ ወመናዝዚት፡ ለዘሰአለ፡ ኀቤሃ፡ በጥቡዕ፡ ልብ፡ ወበጽኑዕ፡ ሃይማኖት። ወኮነ፡ እንዘ፡ ሀሎኩ፡ አነ፡ ነዳይ፡ ዮሐንስ፡ እስቁፍ፡ በገዳመ፡ አስቄጥስ፡ ነገሩኒ፡ ሰብእ፡ መሃይምናን፡ ኄራን፡ ከመ፡ ሀሎ፡ አሐዱ፡ ብእሲ፡ ፈራሄ፡ እግዚአብሔር፡ ወያፈቅራ፡ ለእግዝእትነ፡…. (ወ)ሀገሩሰ፡ ድፍራ
28,ወሀሎ፡ አሐዱ፡ ብእሲ፡ ክርስቲያናዊ፡ ይነብር፡ በአሐቲ፡ ሀገር፡ እምአህጉረ፡ ጊዛ፡ ዘይሰመይ፡ ምኔተ፡ ዲያቆን፡ በገቦሃ፡ ለምስር,EMML,6938,
29,ወኮነ፡ በዛቲ፡ ሀገር፡ ካዕበ፡ ዘትሰመይ፡ ምኔተ፡ ዲያቆን፡ ወሀሎ፡ ብእሲ፡ ክርስቲያናዊ፡ ዘስሙ፡ ዮሴፍ፡ ወቦቱ፡ ብእሲተ፡ ሠናይተ፡ ላሕይ፡ ጥቀ,EMML,6938,
30,ወሀሎ፡ አሐዱ፡ ብእሲ፡ በሀገረ፡ አረጎን፡ እምአድያመ፡ ቀጰዶቅያ፡ ወያፈቅራ፡ ለእግዝእትነ፡…. ፈድፋደ፡ ወይገብር፡ በዐላ፡ ለለ፡ ኵሉ፡ ዕለት,EMML,6938,
31,ወሀሎ፡ አሐዱ፡ ብእሲ፡ ዘያፈቅራ፡ ለእግዝእትነ፡… ሊቀ፡ ጸውርተ፡ ሜስ፡ ዘንጉሠ፡ አፍራንሳ፡ እስመ፡ ልማዶሙ፡ ውእቱ፡ አሐዱ፡ ዘየማን፡ ወአሐዱ፡ ዘፀጋም,EMML,6938,
32,ወሀሎ፡ አሐዱ፡ ብእሲ፡ ዘያፈቅራ፡ ለእግዝእትነ፡…. ፈድፋደ፡ ወይገብር፡ በዐላ፡ ፳፡ ወ፩፡ በበ፡ ኵሉ፡ ወርኅ፡ ወብእሲቱ፡ ሠናይት፡ ወብዑላን፡ ጥቀ፡ በንዋይ,EMML,6938,ወሀሎ፡ አሐዱ፡ ብእሲ፡ ዘያፈቅራ፡ ለእግዝእትነ፡…. ፈድፋደ፡ ወይገብር፡ በዐላ፡ (ለለ፡) ፳፡ ወ፩፡ በበ፡ ኵሉ፡ ወርኅ፡ ወብእሲቱ፡ ሠናይት፡ ወብዑላን፡ ጥቀ፡ በንዋይ
33,ወሀሎ፡ አሐዱ፡ ብእሲ፡ ሠዐሊ፡ ወአልቦ፡ ዘይትማሰሎ፡ በውእቱ፡ አዝማን፡ በገቢረ፡ ሥዕል,EMML,6938,
33,ወሀለወት፡ አሐቲ፡ ቤተ፡ ክርስቲያን፡ ሠናይት፡ ወሶበ፡ ፈጸሙ፡ ሕኒጾታ፡ መጽአ፡ አሐዱ፡ ብእሴ፡ መሥዕል፡ ወቦአ፡ ኀበ፡ ቤተ፡ ክርስቲያን፡ ወገብረ፡ ዐራተ,EMML,6949,ወሀለወት፡ አሐቲ፡ ቤተ፡ ክርስቲያን፡ ሠናይት፡ ወሶበ፡ ፈጸሙ፡ ሕኒጾታ፡ መጽአ፡ አሐዱ፡ ብእሴ፡ መሥዕል፡ (ms: ምስል፡) ወቦአ፡ ኀበ፡ ቤተ፡ ክርስቲያን፡ ወገብረ፡ ዐራተ
34,ወሀለዉ፡ በአሐቲ፡ ሀገር፡ ሰብእ፡ ክርስቲያን፡ ወርሕቅት፡ እምኔሆሙ፡ ቤተ፡ ክርስቲያን፡ በስማ፡ ለእግዝእትነ፡…. መጠነ፡ መሕዋረ፡ ፫፡ ሰዓት,EMML,6938,
35-A1,ኦአኃው፡ ፍቁራን፡ ጽልዉ፡ አእዛኒክሙ፡ ወአስተጋብኡ፡ ሕሊናክሙ፡ ከመ፡ ንንግርክሙ፡ ዘንተ፡ ነገረ፡ መድምመ፡ ዘኢይበጽሖ፡ ሕሊና፡ መዋቲ,EMML,6938,
35-A2,ወሀሎ፡ በምድረ፡ ግብጽ፡ ምኔት፡ ዐቢይ፡ ዘይሰመይ፡ ድብረ፡ ምጥማቅ፡ ወእሙር፡ ውእቱ፡ በኀበ፡ ኵሉ,EMML,2805,
35-B,ዘከመ፡ አስተርአየት፡ በድብረ፡ ምጥማቅ። ወበቀዳሚት፡ ዓመት፡ ፍጻሜ፡ ሕንጸታ፡ ወቅዳሴሃ፡ በስመ፡ እግዝእትነ፡…. አመ፡ ፳፡ ወ፩፡ ለወርኃ፡ ግንቦት፡ ወእንዘ፡ ጉቡኣን፡ እሙንቱ፡ መነኮሳት፡ እምድኅረ፡ ፍጻሜ፡ ጸሎተ፡ ነግህ፡ ፈቀዱ፡ ይሑሩ፡ ከመ፡ ይትለአኩ፡ ኅብስተ፡ ቍርባን,EMML,760,
35-C,ዘከመ፡ አስተርአየት፡ በድብረ፡ ምጥመቅ። ወበጽሐ፡ ኤጲስ፡ ቆጶስ፡ ህየ፡ በዓለ፡ መንበር፡ ዘይእቲ፡ ሀገር፡ ወጸርሐ፡ በዐቢይ፡ ቃል፡ እንዘ፡ ይብል፡ ባርኪ፡ ላዕሌነ,EMML,760,
35-D,ወካዕበ፡ ይመጽኡ፡ እምሕዝብ፡ ነኪራን፡ ወተንባላት፡ ወካልዓንሂ፡ ወይበጽሑ፡ ኀበ፡ ደብር፡ ቅዱስ፡ አመ፡ ፳፡ ወ፩፡ ለወርኃ፡ ግንቦት፡ ወይነብሩ፡ እስከ፡ ፳፡ ወ፭፡ እምኔሁ፡ እስመ፡ በዝንቱ፡ ዕለት፡ ዘአቅደምነ፡ ነጊረ፡ ኢይጸራዕ፡ አስተርእዮታ፡ ለእግዝእትነ,EMML,492,
35-E,ወኮነ፡ በካልእ፡ ዓም፡ ዘበዓል፡ ተጋብኡ፡ እምግብፅ፡ ወኢትዮጵያ፡ ወሶርያ፡ ወአርማንያ፡ ወእዝክንድርያ፡ ወማሮን፡ ወኵርዝ፡ ወአፍርንጊ፡ ወሮመ፡ ወፋርስ፡ ወጽርዕ፡ እምምሥራቅ፡ ወእምምዕራብ፡ ይመጽኡ፡ ወይበጽሑ፡ ኀበ፡ ዝንቱ፡ ምኔት፡ ወይኔጽሩ፡ ተአምረ፡ ወመንክረ፡ ወመድምመ፡ ዘትገብር፡ እግዝእትነ፡…. ወእንዘ፡ ጉቡኣን፡ እሙንቱ፡ ያወርዱ፡ አክሊላቲሆሙ፡ ወይዌግሩ፡ ላዕለ፡ ኀበ፡ ኀለወት፡ ትነብር፡ ውስተ፡ ቀመራ፡ ለቤተ፡ ክርስቲያን,EMML,492,ወኮነ፡ በካልእ፡ ዓም፡ ዘበዓል፡ ተጋብኡ፡ እምግብፅ፡ ወኢትዮጵያ፡ ወሶርያ፡ ወአርማንያ፡ ወእዝክንድርያ፡ ወማሮን፡ (ms: ሜሮን፡) ወኵርዝ፡ ወአፍርንጊ፡ ወሮመ፡ ወፋርስ፡ ወጽርዕ፡ እምምሥራቅ፡ ወእምምዕራብ፡ ይመጽኡ፡ ወይበጽሑ፡ ኀበ፡ ዝንቱ፡ ምኔት፡ ወይኔጽሩ፡ ተአምረ፡ ወመንክረ፡ ወመድምመ፡ ዘትገብር፡ እግዝእትነ፡…. ወእንዘ፡ ጉቡኣን፡ እሙንቱ፡ ያወርዱ፡ አክሊላቲሆሙ፡ ወይዌግሩ፡ ላዕለ፡ ኀበ፡ ኀለወት፡ ትነብር፡ ውስተ፡ ቀመራ፡ ለቤተ፡ ክርስቲያን
35-F,ዘከመ፡ አስተርአየት፡ በደብረ፡ ምጥማቅ። ወበአሐዱ፡ ዓመት፡ ዘበዓል፡ መጽአት፡ አመት፡ እምኍልቈ፡ ሰብእ፡ እለ፡ ተጋብኡ፡ ህየ፡ ወወገረት፡ መንዲላ፡ ላዕለ፡ ወአኃዘቶ፡ እግዝእትነ,EMML,760,
36,ወሀሎ፡ በዝንቱ፡ ደብረ፡ ምጥማቅ፡ ዘእግዝእትነ፡…. ብእሲ፡ ክርስቲያናዊ፡ ጸዐኔ፡ አግማል፡ ለመፍቅደ፡ ደብር,EMML,6938,
37,ወሀሎ፡ በዝንቱ፡ ደብር፡ ዘዝኩር፡ ብእሲ፡ ቀሲስ፡ ዘይሰመይ፡ ይስሐቅ፡ ወውእቱ፡ ሊቀ፡ ምኔት፡ ወለለ፡ ዓመት፡ በገቢረ፡ በዐል፡ ይፃሙ፡ ብዙኀ,EMML,6938,
38,ወሀሎ፡ አሐዱ፡ ንጉሥ፡ ምስለ፡ ወልዱ፡ በሀገረ፡ ምስር፡ ወውእቱ፡ ተንባላታይ፡ ዕልው፡ በመዋዕሊሁ፡ ለአባ፡ እልስክንድሮስ፡ ሊቀ፡ ጳጳሳት,EMML,6938,
39,ወሀሎ፡ አሐዱ፡ ብእሲ፡ ዘስሙ፡ አውሎጊስ፡ በአሐቲ፡ ሀገር፡ ወብእሲ፡ ነዳይ፡ ወፀራቤ፡ እብን፡ ውእቱ,EMML,6938,
40,ተአምሪሃ፡ ለእግዝእትነ፡…. ዘገብረቶ፡ ምስለ፡ ፍቁር፡ ወልዳ፡ አመ፡ ፰፡ ለወርኀ፡ ሰኔ፡ ውስተ፡ ቤተ፡ ምሕፃብ፡ ዘዕውቅት፡ ኀበ፡ መቅዐ፡ ማይ፡ ቡሩክ፡ ዘነቅዓ፡ እግዚእነ፡ ኢየሱስ፡ ክርስቶስ,EMML,2058,
41,ወሀለወት፡ አሐቲ፡ አራጊት፡ እንተ፡ ስማ፡ ስምባት፡ ወፈራሂተ፡ እግዚአብሔር፡ ይእቲ፡ ወታፈቅራ፡ ለእግዝእትነ....,EMML,6938,ወሀለወት፡ አሐቲ፡ አራጊት፡ (በሀገር፡) እንተ፡ ስማ፡ ስምባት፡ ወፈራሂተ፡ እግዚአብሔር፡ ይእቲ፡ ወታፈቅራ፡ ለእግዝእትነ....
42,ስምዑ፡ አበውየ፡ ወአኃውየ፡ ዘንተ፡ ምሥጢረ፡ መንክረ፡ ወመድምመ፡ ዘነገሩነ፡ አበዊነ፡ ቅዱሳን፡ ዘረከብዎ፡ ጽሑፈ፡ ውስተ፡ መጻሕፍት፡ ቅዱሳት። ወይቤሉ፡ አመ፡ ይመጽእ፡ እግዚእነ፡ በዳግም፡ ምጽኣቱ,EMML,6938,
43,ወሀለወት፡ ቤተ፡ ክርስቲያን፡ በሀገረ፡ ምስር፡ በስመ፡ ሰማዕት፡ ፑሉፓዴር፡ መርቆሬዎስ፡ ብእሲ፡ መነኮስ፡ ቀሲስ፡ ዘስሙ፡ ዮሐንስ፡ በከንሲ,EMML,6938,ወሀለወት፡ ቤተ፡ ክርስቲያን፡ በሀገረ፡ ምስር፡ በስመ፡ ሰማዕት፡ ፑሉፓዴር፡ መርቆሬዎስ፡ (ወነበረ፡ ውስቴታ፡) ብእሲ፡ መነኮስ፡ ቀሲስ፡ ዘስሙ፡ ዮሐንስ፡ በከንሲ
44,ወሀለወት፡ አሐቲ፡ ሀገር፡ በቅሩበ፡ ምስር፡ ምኔት፡ በስመ፡ እግዝእትነ፡…. ዘይሰመይ፡ ደብረ፡ አደውያ፡ ወያብዕሉ፡ በውስቴታ፡ በዐለ፡ ዐቢየ፡ በስማ፡ ለእግዝእትነ,EMML,6938,ወሀለወት፡ (በ)አሐቲ፡ ሀገር፡ በቅሩበ፡ ምስር፡ ምኔት፡ በስመ፡ እግዝእትነ፡…. ዘይሰመይ፡ ደብረ፡ አደውያ፡ ወያብዕሉ፡ በውስቴታ፡ በዐለ፡ ዐቢየ፡ በስማ፡ ለእግዝእትነ
45,ድርሳን፡ ዘደረሰ፡ አባ፡ ቄርሎስ፡ ኤጲስ፡ ቆጶስ፡ ዘሀገረ፡ ኢየሩሳሌም፡ ቅድስት፡ በእንተ፡ ሥዕለ፡ እግዝእትነ፡…. ዘሀለወት፡ በደብረ፡ ጼዴንያ፡ ኀበ፡ አሐቲ፡ ሀገር፡ እምአህጉረ፡ ዳማስቆ፡…. ወእምድኅረ፡ ዝንቱ፡ ኦፍቁራንየ፡ አነኒ፡ እሬኢ፡ ብእሴ፡ እምኔክሙ፡ ዘይጸውር፡ ተጋድሎ,EMML,2058,
46,ተአምሪሃ፡ ዘኮነ፡ በሀገረ፡ ጽርዕ። ወሀሎ፡ ደብር፡ በጽንፈ፡ ኢያሪኮ፡ ወኑኁ፡ መጠነ፡ መንፈቀ፡ ምዕራፍ,EMML,6938,ተአምሪሃ፡ (ለእግዝእትነ፡ ማርያም፡) ዘኮነ፡ በሀገረ፡ ጽርዕ። ወሀሎ፡ ደብር፡ በጽንፈ፡ ኢያሪኮ፡ ወኑኁ፡ መጠነ፡ መንፈቀ፡ ምዕራፍ
47,ወሀሎ፡ አሐዱ፡ ተንበላታይ፡ ወይነግድ፡ ለሀገረ፡ ጽርዕ፡ በባሕረ፡ ኢያሪኮ፡ በሐመር፡ ወሖረ፡ በከመ፡ ልማዱ፡ ወወፅአ፡ እምባሕር፡ ወበጽሐ፡ ሀገረ፡ ናፑል,EMML,3872,
48,ዘኮነ፡ በደሴተ፡ ቆላሲስ። ወሀሎ፡ አሐዱ፡ ብእሲ፡ ባዕል፡ ጥቀ፡ ወሖረ፡ ሀገረ፡ ትርኵ፡ ከመ፡ ይፅብኦሙ፡ ለቍዝ,EMML,6938,
49,ወሀለወት፡ በቅሩበ፡ ዓይነ፡ ማይ፡ ዘአንቅዐ፡ እግዚእነ፡ ኢየሱስ፡ ክርስቶስ፡ ዘትሰመይ፡ መጠርያ፡  በስመ፡ እግዝእትነ፡…. ወይብልዋ፡ ለይእቲ፡ ደወል፡ ምኔተ፡ ሰርድ,EMML,6938,ወሀለወት፡ በቅሩበ፡ ዓይነ፡ ማይ፡ ዘአንቅዐ፡ እግዚእነ፡ ኢየሱስ፡ ክርስቶስ፡ ዘትሰመይ፡ መጠርያ፡ (ቤተ፡ ክርስቲያን፡) በስመ፡ እግዝእትነ፡…. ወይብልዋ፡ ለይእቲ፡ ደወል፡ ምኔተ፡ ሰርድ (ms: ስርድ)
